feature_1,feature_2,correlation,absolute_correlation,exceeds_085
impulse_factor,d2_energy,0.8258915859416337,0.8258915859416337,False
spectral_centroid,spectral_kurtosis,-0.8252739701817093,0.8252739701817093,False
d1_energy,d3_wavelet_std,0.8222166859516672,0.8222166859516672,False
kurtosis,spectral_flatness,0.8209488696609606,0.8209488696609606,False
margin_factor,higuchi_fractal_dimension,0.81904151042518,0.81904151042518,False
spectral_skewness,cross_spectral_centroid,-0.8161967256207715,0.8161967256207715,False
d1_energy,d3_energy,0.8154150830630047,0.8154150830630047,False
spectral_flatness,d2_energy,0.8152695584830452,0.8152695584830452,False
skewness,multi_axis_energy_asymmetry,0.8136810174275395,0.8136810174275395,False
margin_factor,d3_wavelet_std,0.8136142485135677,0.8136142485135677,False
multi_axis_energy_asymmetry,d3_wavelet_std,0.8128525612827618,0.8128525612827618,False
kurtosis,ar_residual_variance,0.8108830544497582,0.8108830544497582,False
impulse_factor,spectral_flatness,0.8080318653091078,0.8080318653091078,False
spectral_rolloff_85,spectral_kurtosis,-0.8044213816893659,0.8044213816893659,False
spectral_centroid,higuchi_fractal_dimension,0.8036680682122036,0.8036680682122036,False
spectral_entropy,d3_energy,0.8014668490601785,0.8014668490601785,False
impulse_factor,d1_energy,0.8002132069362646,0.8002132069362646,False
